Iteration 1: Best shielding time = 0.539 s, par_id = 1, theta = 356.019°, v = 126.826 m/s, t_deploy = 0.081 s, delay = 0.539 s
Iteration 2: Best shielding time = 0.676 s, par_id = 1, theta = 353.197°, v = 93.898 m/s, t_deploy = 0.511 s, delay = 0.018 s
Iteration 3: Best shielding time = 1.587 s, par_id = 1, theta = 343.341°, v = 86.253 m/s, t_deploy = 0.052 s, delay = 0.104 s
Iteration 4: Best shielding time = 1.587 s, par_id = 1, theta = 343.341°, v = 86.253 m/s, t_deploy = 0.052 s, delay = 0.104 s
Iteration 5: Best shielding time = 1.587 s, par_id = 1, theta = 343.341°, v = 86.253 m/s, t_deploy = 0.052 s, delay = 0.104 s
Iteration 6: Best shielding time = 1.587 s, par_id = 1, theta = 343.341°, v = 86.253 m/s, t_deploy = 0.052 s, delay = 0.104 s
Iteration 7: Best shielding time = 3.047 s, par_id = 1, theta = 0.335°, v = 73.808 m/s, t_deploy = 0.782 s, delay = 2.675 s
Iteration 8: Best shielding time = 1.858 s, par_id = 1, theta = 1.668°, v = 93.150 m/s, t_deploy = 1.280 s, delay = 3.724 s
Iteration 9: Best shielding time = 1.858 s, par_id = 1, theta = 1.668°, v = 93.150 m/s, t_deploy = 1.280 s, delay = 3.724 s
Iteration 10: Best shielding time = 1.858 s, par_id = 1, theta = 1.668°, v = 93.150 m/s, t_deploy = 1.280 s, delay = 3.724 s
Iteration 11: Best shielding time = 2.737 s, par_id = 1, theta = 1.547°, v = 93.050 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 12: Best shielding time = 2.737 s, par_id = 1, theta = 1.547°, v = 93.050 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 13: Best shielding time = 2.737 s, par_id = 1, theta = 1.547°, v = 93.050 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 14: Best shielding time = 2.573 s, par_id = 1, theta = 0.094°, v = 86.667 m/s, t_deploy = 0.714 s, delay = 2.744 s
Iteration 15: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 16: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 17: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 18: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 19: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 20: Best shielding time = 3.230 s, par_id = 1, theta = 1.547°, v = 100.631 m/s, t_deploy = 0.829 s, delay = 3.504 s
Iteration 21: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 22: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 23: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 24: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 25: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 26: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 27: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 28: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 29: Best shielding time = 2.004 s, par_id = 1, theta = 350.329°, v = 74.580 m/s, t_deploy = 0.055 s, delay = 0.100 s
Iteration 30: Best shielding time = 2.193 s, par_id = 1, theta = 359.030°, v = 87.384 m/s, t_deploy = 0.195 s, delay = 0.014 s
Iteration 31: Best shielding time = 1.518 s, par_id = 1, theta = 2.463°, v = 99.363 m/s, t_deploy = 0.182 s, delay = 3.502 s
Iteration 32: Best shielding time = 1.518 s, par_id = 1, theta = 2.463°, v = 99.363 m/s, t_deploy = 0.182 s, delay = 3.502 s
Iteration 33: Best shielding time = 1.518 s, par_id = 1, theta = 2.463°, v = 99.363 m/s, t_deploy = 0.182 s, delay = 3.502 s
Iteration 34: Best shielding time = 1.518 s, par_id = 1, theta = 2.463°, v = 99.363 m/s, t_deploy = 0.182 s, delay = 3.502 s
Iteration 35: Best shielding time = 1.518 s, par_id = 1, theta = 2.463°, v = 99.363 m/s, t_deploy = 0.182 s, delay = 3.502 s
Iteration 36: Best shielding time = 3.279 s, par_id = 1, theta = 1.700°, v = 78.191 m/s, t_deploy = 0.071 s, delay = 2.064 s
Iteration 37: Best shielding time = 4.145 s, par_id = 1, theta = 1.811°, v = 77.679 m/s, t_deploy = 0.083 s, delay = 2.402 s
Iteration 38: Best shielding time = 4.145 s, par_id = 1, theta = 1.811°, v = 77.679 m/s, t_deploy = 0.083 s, delay = 2.402 s
Iteration 39: Best shielding time = 4.145 s, par_id = 1, theta = 1.811°, v = 77.679 m/s, t_deploy = 0.083 s, delay = 2.402 s
Iteration 40: Best shielding time = 4.145 s, par_id = 1, theta = 1.811°, v = 77.679 m/s, t_deploy = 0.083 s, delay = 2.402 s
Iteration 41: Best shielding time = 0.000 s, par_id = 1, theta = 347.882°, v = 101.913 m/s, t_deploy = 0.692 s, delay = 0.216 s
Iteration 42: Best shielding time = 2.236 s, par_id = 1, theta = 3.659°, v = 97.088 m/s, t_deploy = 0.045 s, delay = 0.392 s
Iteration 43: Best shielding time = 2.236 s, par_id = 1, theta = 3.659°, v = 97.088 m/s, t_deploy = 0.045 s, delay = 0.392 s
Iteration 44: Best shielding time = 2.236 s, par_id = 1, theta = 3.659°, v = 97.088 m/s, t_deploy = 0.045 s, delay = 0.392 s
Iteration 45: Best shielding time = 1.956 s, par_id = 1, theta = 0.620°, v = 97.088 m/s, t_deploy = 0.045 s, delay = 0.392 s
Iteration 46: Best shielding time = 2.128 s, par_id = 1, theta = 0.620°, v = 97.088 m/s, t_deploy = 0.263 s, delay = 0.017 s
Iteration 47: Best shielding time = 2.141 s, par_id = 1, theta = 359.201°, v = 97.088 m/s, t_deploy = 0.206 s, delay = 0.017 s
Iteration 48: Best shielding time = 2.141 s, par_id = 1, theta = 359.201°, v = 97.088 m/s, t_deploy = 0.206 s, delay = 0.017 s
Iteration 49: Best shielding time = 2.141 s, par_id = 1, theta = 359.201°, v = 97.088 m/s, t_deploy = 0.206 s, delay = 0.017 s
Iteration 50: Best shielding time = 2.444 s, par_id = 1, theta = 2.294°, v = 76.144 m/s, t_deploy = 0.084 s, delay = 0.070 s
Iteration 51: Best shielding time = 0.000 s, par_id = 1, theta = 3.245°, v = 77.949 m/s, t_deploy = 0.747 s, delay = 0.597 s
Iteration 52: Best shielding time = 3.076 s, par_id = 1, theta = 0.067°, v = 116.899 m/s, t_deploy = 0.997 s, delay = 3.747 s
Iteration 53: Best shielding time = 3.076 s, par_id = 1, theta = 0.067°, v = 116.899 m/s, t_deploy = 0.997 s, delay = 3.747 s
Iteration 54: Best shielding time = 3.076 s, par_id = 1, theta = 0.067°, v = 116.899 m/s, t_deploy = 0.997 s, delay = 3.747 s
Iteration 55: Best shielding time = 2.785 s, par_id = 1, theta = 0.084°, v = 139.346 m/s, t_deploy = 0.861 s, delay = 3.909 s
Iteration 56: Best shielding time = 2.785 s, par_id = 1, theta = 0.084°, v = 139.346 m/s, t_deploy = 0.861 s, delay = 3.909 s
Iteration 57: Best shielding time = 2.785 s, par_id = 1, theta = 0.084°, v = 139.346 m/s, t_deploy = 0.861 s, delay = 3.909 s
Iteration 58: Best shielding time = 2.785 s, par_id = 1, theta = 0.084°, v = 139.346 m/s, t_deploy = 0.861 s, delay = 3.909 s
Iteration 59: Best shielding time = 4.395 s, par_id = 1, theta = 1.304°, v = 113.720 m/s, t_deploy = 0.363 s, delay = 3.377 s
Iteration 60: Best shielding time = 4.395 s, par_id = 1, theta = 1.304°, v = 113.720 m/s, t_deploy = 0.363 s, delay = 3.377 s
Iteration 61: Best shielding time = 0.000 s, par_id = 1, theta = 359.755°, v = 127.103 m/s, t_deploy = 0.850 s, delay = 4.081 s
Iteration 62: Best shielding time = 0.000 s, par_id = 1, theta = 359.755°, v = 127.103 m/s, t_deploy = 0.850 s, delay = 4.081 s
